year,LootBox,Pay to Win,Cosmetic
18/03/2016,67.66206248,17.80898651,79.23591352
25/03/2016,66.84252461,18.11375015,79.09184552
01/04/2016,68.73432648,16.86695975,79.76012417
08/04/2016,68.2893921,16.13836176,78.63028415
15/04/2016,66.68443068,16.48939636,76.90735848
22/04/2016,67.83596648,15.43905005,78.08380837
29/04/2016,66.87108855,15.98063068,77.58860548
06/05/2016,66.98009419,15.69918678,78.40639947
13/05/2016,66.22409019,15.89621467,77.58293044
20/05/2016,66.02293976,15.88887693,78.47260185
27/05/2016,64.94344367,15.58960003,78.21967887
03/06/2016,65.35257346,16.00904046,78.53841429
10/06/2016,65.30528291,16.62462617,78.27201368
17/06/2016,65.25254618,16.41429108,77.9172876
24/06/2016,61.6282439,16.72843122,75.97146986
01/07/2016,61.37257604,17.05017295,75.96506258
08/07/2016,63.75726507,18.47901144,78.09969497
15/07/2016,65.01282034,17.91541901,78.6602694
22/07/2016,64.18705822,17.38689993,77.17427985
29/07/2016,64.91053045,17.51487654,77.62353847
05/08/2016,65.76600853,16.89047858,78.16251427
12/08/2016,65.14256158,15.57936472,76.57146682
19/08/2016,67.32634816,17.34426686,79.45640513
26/08/2016,68.27791627,17.56406585,80.20922042
02/09/2016,68.49479556,17.06999273,80.28943599
09/09/2016,68.88312941,16.08502248,80.58249377
16/09/2016,68.05693122,16.23738563,79.7434175
23/09/2016,68.51559193,17.25686827,80.30719602
30/09/2016,67.7854987,18.47383975,79.92879982
07/10/2016,67.95966277,18.184549,80.08737114
14/10/2016,67.53645851,16.98500233,80.00316945
21/10/2016,65.13700648,16.26107222,76.96366782
28/10/2016,63.08910028,19.10572942,77.94408232
04/11/2016,63.85489355,18.66262108,77.80753066
11/11/2016,63.66886953,19.05359686,76.94210226
18/11/2016,64.14167751,19.11542064,77.45846703
25/11/2016,61.75587391,19.43002017,76.31222842
02/12/2016,64.51813504,18.66609864,78.18562366
09/12/2016,64.76896917,18.64166883,78.72341449
16/12/2016,63.58116835,20.35882298,78.33853881
23/12/2016,59.52004777,20.24794583,75.45993034
30/12/2016,57.69884533,20.44862177,74.23464713
01/01/2017,58.82835466,19.908232,74.62932276
08/01/2017,62.07432556,19.01572022,76.40767941
15/01/2017,62.70543394,18.77958509,76.7635599
22/01/2017,64.84848313,17.93351305,77.91520322
29/01/2017,65.53738574,17.15472916,78.87910416
05/02/2017,64.95850082,17.78642622,78.5847294
12/02/2017,65.67643726,18.97859923,79.06969435
19/02/2017,65.14076428,19.64919517,79.25006719
26/02/2017,65.94688784,19.48501731,79.40445651
05/03/2017,67.04563375,19.40418168,79.70072648
12/03/2017,67.2207723,18.70555025,79.53729612
19/03/2017,67.96461514,17.88624051,80.1084724
26/03/2017,68.16726013,18.56589621,80.43281881
02/04/2017,68.18481082,18.39310616,80.72124205
09/04/2017,66.85150391,18.10786245,80.39276943
16/04/2017,67.80370334,18.37792157,80.40485313
23/04/2017,68.43840142,17.58265744,80.47273915
30/04/2017,68.40531444,17.51737764,80.16727088
07/05/2017,68.97009883,16.95906523,80.77347476
14/05/2017,68.60398496,16.86773245,80.81468803
21/05/2017,68.7172027,17.09479322,80.72903182
28/05/2017,68.02404944,17.68979388,80.78147966
04/06/2017,66.11779541,17.3837891,79.92981823
11/06/2017,63.44056833,17.43576779,81.24852289
18/06/2017,63.79074541,18.0104025,80.14561941
25/06/2017,60.62646048,18.63756158,77.59505713
02/07/2017,61.28571268,18.58792982,77.80386324
09/07/2017,64.58233669,18.48806138,79.34733342
16/07/2017,66.35884066,17.54028506,80.14692335
23/07/2017,67.16532341,17.4485455,80.60919435
30/07/2017,68.89618056,17.0971996,81.53834689
06/08/2017,70.74125152,16.05433139,82.76864243
13/08/2017,71.50814,15.72263832,83.16098298
20/08/2017,71.7459495,15.93641291,83.57413388
27/08/2017,71.80026828,16.058585,84.29499079
03/09/2017,72.39738003,15.18331313,84.06933659
10/09/2017,73.88755505,14.48316938,84.76931864
17/09/2017,74.56904194,13.86240898,84.58761409
24/09/2017,75.05599228,13.07881499,85.62045395
01/10/2017,75.98831647,12.84682797,86.48865076
08/10/2017,77.82577084,11.97781854,86.81338203
15/10/2017,78.14039171,12.55565801,87.06646283
22/10/2017,78.14103389,12.49347221,87.3685582
29/10/2017,78.35106892,12.49742351,87.70966888
05/11/2017,80.27259111,11.44722003,88.40303545
12/11/2017,80.60386808,11.22175487,88.42205208
19/11/2017,80.021043,11.54763281,87.96989275
26/11/2017,78.93376608,11.72662965,87.41758046
03/12/2017,79.53675995,11.48760759,87.30766833
10/12/2017,77.75613013,11.89863579,85.78988217
17/12/2017,77.12775541,12.45029356,85.997198
24/12/2017,76.53184134,13.0541815,86.46447212
31/12/2017,75.04926335,13.5496885,85.42821755
01/01/2018,75.76853464,12.81484867,85.54811773
08/01/2018,78.39394182,11.85766395,86.77044823
15/01/2018,79.12325742,11.25341476,87.18232183
22/01/2018,78.89832904,11.14006168,87.26861366
29/01/2018,78.83699877,11.01316129,87.03913251
05/02/2018,78.27008911,11.83300571,86.79927118
12/02/2018,75.27338916,14.20828008,84.22996385
19/02/2018,75.37190898,13.59858027,84.56723642
26/02/2018,77.27462606,12.39485803,86.04205451
05/03/2018,77.47939889,12.68640015,86.06110196
12/03/2018,76.68855521,12.58559265,85.66920474
19/03/2018,76.87053759,12.76127017,86.05673474
26/03/2018,75.25609154,13.54025953,85.84744479
02/04/2018,74.32197533,13.22385539,85.99110744
09/04/2018,74.4637551,13.37610142,85.7589355
16/04/2018,73.41821831,14.27980051,85.16126735
23/04/2018,71.03669207,13.93382681,84.2051277
30/04/2018,71.03167547,13.82135795,83.7483504
07/05/2018,69.84890635,13.6865904,82.85713069
14/05/2018,68.85748595,14.37830932,83.64000666
21/05/2018,67.7359997,14.83123734,83.35070516
28/05/2018,66.97349854,15.15847831,82.56844118
04/06/2018,67.17121002,14.83803753,82.62804114
11/06/2018,66.74918763,16.39392691,83.19977871
18/06/2018,65.20482494,16.63409498,82.0519804
25/06/2018,63.49469723,17.44494562,81.49700387
02/07/2018,62.33476256,18.29469309,81.07447782
09/07/2018,63.38128787,18.03966735,81.4240698
16/07/2018,64.13791395,17.95306593,82.16325047
23/07/2018,63.51717368,18.31786815,82.12625345
30/07/2018,63.72747361,17.62581643,82.07450375
06/08/2018,62.49970494,17.85653553,82.27028042
13/08/2018,61.90473409,17.68032501,82.29325396
20/08/2018,64.76242978,19.17306748,83.45855624
27/08/2018,64.76652692,18.07637732,83.19483955
03/09/2018,65.2414861,17.58979682,83.13964141
10/09/2018,66.99327235,17.55232417,83.54058688
17/09/2018,67.15751151,17.85313197,83.64054693
24/09/2018,65.75701965,17.64152901,81.41178514
01/10/2018,65.20574085,17.69783323,80.51881667
08/10/2018,65.74189434,18.9418952,80.96869332
15/10/2018,66.92724539,19.81486646,82.0292001
22/10/2018,66.48771211,19.85988995,81.86759981
29/10/2018,64.98877001,19.29533852,80.72273442
05/11/2018,64.38385657,18.24387007,79.41441067
12/11/2018,65.28436703,18.15419485,80.05543267
19/11/2018,63.93236587,17.75227922,78.60858809
26/11/2018,63.47738461,18.58533632,78.59196534
03/12/2018,64.71869663,18.49734959,80.12371562
10/12/2018,65.78677991,17.23700624,80.47871288
17/12/2018,63.36969028,16.75246425,77.51827379
24/12/2018,62.66213938,18.63858133,78.63817492
31/12/2018,61.13450016,19.46622517,77.61924097
01/01/2019,62.90515438,18.33462828,78.51324296
08/01/2019,64.89920829,17.36422405,79.00961458
15/01/2019,64.53546961,17.22157345,78.7135338
22/01/2019,64.91676299,18.05044778,79.89506499
29/01/2019,63.71218572,17.90618436,78.46025739
05/02/2019,63.75781454,18.46959901,79.13767204
12/02/2019,65.22568907,17.95816903,79.72556044
19/02/2019,66.38120012,17.33793762,80.15642568
26/02/2019,66.62220765,17.39418581,80.63211226
05/03/2019,67.793277,17.4326256,81.24036507
12/03/2019,69.01996144,16.61919876,81.72771893
19/03/2019,68.2043456,15.71271654,80.43802359
26/03/2019,68.57937991,15.44418354,80.58745857
02/04/2019,68.61837358,15.9112736,81.20826329
09/04/2019,68.66227341,16.02396792,81.44458551
16/04/2019,67.84314396,16.38035671,81.25672581
